spotid	spotname	longitude	latitude	kind	cluster
4	경영학도서관	126.95203	37.46568	도서관	2
7	국제학도서관	126.9546	37.46406	도서관	2
637	농학도서관	126.94851	37.45647	도서관	0
6	법학도서관	126.95189	37.46182	도서관	5
3	사회과학도서관	126.95092	37.46353	도서관	2
8	수의학도서관	126.95425	37.46698	도서관	2
2	중앙도서관	126.95247	37.45903	도서관	5
47	감골식당	126.95015	37.46328	식당	2
67	공간	126.95079	37.45727	식당	4
70	교수회관식당	126.95387	37.45781	식당	5
48	동원생활관식당	126.95175	37.46504	식당	2
50	두레미담	126.94851	37.45647	식당	0
56	라운지오	126.95175	37.46504	식당	2
68	락구정	126.95062	37.4549	식당	4
668	롯데리아	126.95247	37.45903	식당	5
58	르네상스	126.95896	37.46792	식당	1
816	봉구스밥버거	126.95206	37.4552	식당	4
666	비비큐 프리미엄	126.95062	37.4549	식당	4
54	샤르샤	126.95175	37.46504	식당	2
53	샤반	126.948120067187	37.4592190840394	식당	0
57	샹그릴라	126.95896	37.46792	식당	1
49	76동식당	126.9557	37.46073	식당	5
52	아름드리	126.95312	37.46193	식당	5
62	아워홈	126.95782	37.46204	식당	1
63	웰스토리	126.95952	37.46588	식당	1
66	웰스토리	126.95424	37.46451	식당	2
589	자하연식당	126.95252	37.46098	식당	5
43	3식당	126.94851	37.45647	식당	0
46	제2공학관식당	126.95265	37.44887	식당	3
60	제이김밥	126.95247	37.45903	식당	5
588	출출박스	126.95058	37.45932	식당	5
664	퀴즈노스	126.95259	37.45016	식당	3
64	텐카이핀	126.95385	37.46647	식당	2
748	파란코끼리	126.951	37.46271	식당	2
65	포포인	126.95385	37.46647	식당	2
44	학부기숙사식당	126.95872	37.46306	식당	1
42	학생회관식당	126.95058	37.45932	식당	5
817	10인치샌드위치	126.9581	37.46149	카페	1
835	1847커피앤샐러드	126.95345	37.45509	카페	4
93	CNNCAFE	126.95487	37.46427	카페	2
120	CU	126.94976	37.45619	편의점	0
117	CU	126.951	37.46271	편의점	2
111	CU	126.95259	37.45016	편의점	3
109	CU	126.95247	37.45903	편의점	5
82	Fluid	126.95058	37.45932	카페	5
112	GS25	126.9581	37.46149	편의점	1
89	그랑	126.95782	37.46204	카페	1
73	글로벌하우스	126.95905	37.46394	카페	1
72	느티나무137동점	126.95328	37.4664	카페	2
77	느티나무동원관점	126.95175	37.46504	카페	2
80	느티나무음대점	126.95335	37.4626	카페	2
79	느티나무자하연점	126.95252	37.46098	카페	5
83	느티나무중앙도서관점	126.95199	37.4594	카페	5
85	더랩	126.95479	37.45962	카페	5
90	디노마드진	126.95952	37.46588	카페	1
99	라운지스낵	126.95058	37.45932	카페	5
96	머그(공대점)	126.95206	37.4552	카페	4
81	머그(인문대점)	126.95326	37.46089	카페	5
91	모아카페	126.94969	37.4665	카페	2
97	베레피	126.94868	37.45769	카페	0
115	세븐일레븐	126.95952	37.46588	편의점	1
813	세븐일레븐 서울대공학관점	126.95206	37.4552	편의점	4
108	수의대휴게매점	126.95365	37.46744	편의점	2
548	스누코(220동)	126.95424	37.46451	편의점	2
121	스누코(3식당)	126.94851	37.45647	편의점	0
547	스누코(500동)	126.948120067187	37.4592190840394	편의점	0
92	웰스토리 카페	126.95424	37.46451	카페	2
87	이야기	126.95189	37.46182	카페	5
75	투썸플레이스	126.948120067187	37.4592190840394	카페	0
100	파리바게트	126.95247	37.45903	카페	5
76	파스쿠치	126.95518	37.45922	카페	5
78	할리스	126.95312	37.46193	카페	5
823	공과대학(신양학술정보관)	126.95206	37.4552	학습공간	4
825	공과대학(신양학술정보관)	126.95206	37.4552	학습공간	4
826	공과대학(신양학술정보관)	126.95206	37.4552	학습공간	4
824	공과대학(신양학술정보관)	126.95206	37.4552	학습공간	4
821	사회대학(신양학술정보관)	126.951	37.46271	학습공간	2
822	사회대학(신양학술정보관)	126.951	37.46271	학습공간	2
819	인문대학(신양학술정보관)	126.95326	37.46089	학습공간	5
820	인문대학(신양학술정보관)	126.95326	37.46089	학습공간	5
